proposal_rank,rank,GEOHASH,latitude,longitude,demand_score,nearest_station_distance_km,nearest_station_name,nearest_station_brand
1,1,sxk3xe,41.0641479492188,28.8116455078125,0.7627546416580907,0.42192309161729336,Petrol Ofisi,Petrol Ofisi
2,2,sxk9pq,40.9927368164063,29.1522216796875,0.7555040066016936,0.7319544877899755,Shell,Shell
3,3,sxk3xd,41.0586547851563,28.8116455078125,0.7516549697438843,0.9485048417473322,Opet Bağcılar,Opet
4,4,sxkb6p,40.8663940429688,29.2730712890625,0.7409492215695235,0.9995827705232877,Türkiye Petrolleri,Türkiye Petrolleri
5,5,sxkbgk,40.9378051757813,29.3280029296875,0.7166699730255535,0.3178607269431893,TotalEnergies TSK Mehmetcik Vakfı,TotalEnergies
6,6,sxk3rs,41.0256958007813,28.8116455078125,0.709644338006657,0.2056107795183879,Opet Bağcılar 15 Temmuz,Opet
7,7,sxk3k8,41.0037231445313,28.6798095703125,0.7042752088893197,0.36661560672172927,Total,TotalEnergies
8,8,sxk3py,40.9927368164063,28.8226318359375,0.7039800868500863,0.3867097572754275,Opet Bahçelievler Çobançeşme,Opet
9,9,sxk985,41.0641479492188,28.8336181640625,0.6923879312988708,0.48060082249824626,Aytemiz,Aytemiz
10,10,sxk3x8,41.0476684570313,28.8116455078125,0.6879929045314007,0.27624681827994607,Opet Bağcılar,Opet
