GEOHASH,mean_daily_vehicle_count,mean_speed_kmh,peak_hour_vehicle_count,total_vehicle_count,latitude,longitude
sxk3xe,11770.63,52.6,1415,223642,41.0641479492188,28.8116455078125
sxk3xd,11440.37,50.79,1342,217367,41.0586547851563,28.8116455078125
sxkbgk,11089.11,62.5,1370,210693,40.9378051757813,29.3280029296875
sxk9pq,10731.11,42.95,1283,203891,40.9927368164063,29.1522216796875
sxk985,10387.68,56.59,1265,197366,41.0641479492188,28.8336181640625
sxk3k8,10081.47,51.66,1372,191548,41.0037231445313,28.6798095703125
sxkb6p,10000.74,46.45,1550,190014,40.8663940429688,29.2730712890625
sxk9nx,9897.53,62.56,1179,188053,40.9982299804688,29.1192626953125
sxkbge,9836.26,70.49,1370,186889,40.9323120117188,29.3389892578125
sxk3py,9661.58,52.57,1470,183570,40.9927368164063,28.8226318359375
sxk3rs,9641.89,42.75,1302,183196,41.0256958007813,28.8116455078125
sxk3x8,9183.89,45.44,1259,174494,41.0476684570313,28.8116455078125
sxk3x7,9062.79,50.17,1139,172193,41.0641479492188,28.8006591796875
sxk9fc,8790.63,53.44,1035,167022,41.0971069335938,28.9544677734375
sxkc0s,8773.74,70.82,1187,166701,40.9817504882813,29.2071533203125
sxk9nh,8523.63,50.0,1093,161949,40.9817504882813,29.0972900390625
sxkc0u,8466.47,59.55,1059,160863,40.9817504882813,29.2181396484375
sxkc17,8386.95,64.5,1068,159352,40.9762573242188,29.2401123046875
sxkbgj,8332.84,78.88,961,158324,40.9432983398438,29.3170166015625
sxk3s9,8243.95,59.16,1023,156635,41.0531616210938,28.6798095703125
